************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |       81.580|      0.000107|
 |       81.713|      0.000106|
 |       81.846|      0.000105|
 |       81.980|      0.000104|
 |       82.113|      0.000104|
 |       82.246|      0.000103|
 |       82.379|      0.000102|
 |       82.513|      0.000102|
 |       82.646|      0.000101|
 |       82.779|      0.000100|
 |       82.913|      0.000100|
 |       83.046|      0.000099|
 |       83.179|      0.000098|
 |       83.313|      0.000098|
 |       83.446|      0.000097|
 |       83.579|      0.000097|
 |       83.712|      0.000096|
 |       83.846|      0.000095|
 |       83.979|      0.000095|
 |       84.112|      0.000094|
 |       84.246|      0.000093|
 |       84.379|      0.000093|
 |       84.512|      0.000092|
 |       84.646|      0.000092|
 |       84.779|      0.000091|
 |       84.912|      0.000090|
 |       85.045|      0.000090|
 |       85.179|      0.000089|
 |       85.312|      0.000089|
 |       85.445|      0.000088|
 |       85.579|      0.000088|
 |       85.712|      0.000087|
 |       85.845|      0.000086|
 |       85.979|      0.000086|
 |       86.112|      0.000085|
 |       86.245|      0.000085|
 |       86.378|      0.000084|
 |       86.512|      0.000084|
 |       86.645|      0.000083|
 |       86.778|      0.000083|
 |       86.912|      0.000082|
 |       87.045|      0.000082|
 |       87.178|      0.000081|
 |       87.312|      0.000081|
