Year Month Day Latitude Longitude Size
1960 7 25 54.25 -95.35 607.29
1960 7 8 54.969 -100.184 1133.60
1960 7 6 56.25 -94.333 2631.58
1960 6 28 63.33 -118.75 460.80
1960 7 18 58.13 -103.72 242.91
1960 7 13 51.1 -119.5 386.40
1960 7 28 56.3 -107.671 242.91
1960 7 13 49.6 -116.1 4188.50
1960 7 27 58.68 -109.32 202.42
1960 5 29 46.4171 -71.7263 445.16
1960 7 13 52.2 -119.3 420.80
1960 7 12 49.9 -121.1 5949.20
1960 7 26 49 -115.1 242.80
1960 7 26 54.699 -104.558 16963.56
1960 7 8 54.846 -101.786 356.28
1960 7 30 53.5 -124.4 367.00
1960 8 20 50.3 -121.6 617.10
1960 7 21 58.45 -105.92 485.82
1960 7 13 51 -117.6 485.60
1960 7 13 51.1 -119.3 1230.20
1960 7 4 55.783 -100.783 16720.65
1960 7 13 52.5 -119.8 2023.40
1960 7 9 48.98 -53.96 202.00
1960 7 13 52.1 -119.5 712.20
1960 7 18 58.12 -104.35 777.32
1960 4 17 55.6 -121.3 440.20
1960 6 19 63.43 -110.5 656.00
1960 4 25 54.7 -127 299.40
1960 4 28 55.6 -121.3 621.50
1960 4 22 55.8 -122 258.90
1960 4 28 55.8 -121.7 284.80
1960 6 20 62.07 -120.08 2400.00
1961 7 21 64.85 -116.75 21500.00
1961 7 4 49.2 -121.1 432.60
1961 7 29 58.4 -126.5 841.70
1961 6 11 55.733 -90.23 6218.62
1961 6 27 50.9375 -93.375 1619.00
1961 6 24 49.5625 -91.375 2318.00
1961 6 6 55.517 -99.33 17619.43
1961 6 12 51.7 -123.7 696.00
1961 6 1 48.59 -54.11 466.00
1961 6 4 58.0385 -112.083 2661.40
1961 6 27 51.79 -98.562 1813.77
1961 6 4 57.1225 -111.2193 491.20
1961 7 25 49.6 -123 625.20
1961 6 14 48.4918 -64.8426 768.92
1961 6 17 50.9375 -91.875 128399.00
1961 7 16 51 -124.8 204.30
1961 7 17 61.22 -106.83 2200.00
1961 6 20 47.17 -53.67 3400.00
1961 8 5 56.4 -127.5 323.70
1961 5 19 56.3 -121.3 4046.80
1961 6 25 56.3 -98.167 222.67
1961 7 4 55.017 -99.767 2551.00
1961 7 15 56.2 -124 10910.30
1961 6 4 54.7612 -115.8376 769.60
1961 5 5 51.703 -100.51 453.44
1961 6 28 54.784 -97.674 323.89
1961 8 15 49.9 -122 208.80
1961 6 6 55.166 -96.75 1862.35
1961 6 5 51.162 -97.276 283.40
1961 6 6 55.55 -99.367 17619.43
1961 6 19 57.6 -126.1 724.30
1961 6 16 54.802 -97.846 28340.08
1961 6 18 56.633 -101.633 5668.00
1961 6 17 54.1 -97.695 8058.30
1961 6 4 54.2558 -116.7844 564.50
1961 6 26 51.4375 -92.875 41119.00
1961 6 17 50.7 -121.4 295.40
1961 5 4 53.412 -100.794 906.88
1961 6 7 51.5 -123.9 378.70
1961 6 6 55.367 -98.917 259.11
1961 6 4 55.5392 -115.3882 547.40
1961 6 17 60.42 -105.83 4000.00
1961 9 13 48.7 -123.5 479.50
1961 5 23 55.4051 -116.754 372.60
1961 7 12 49 -124.9 238.30
1961 4 10 52.005 -100.588 5910.93
1961 6 4 54.424 -100.552 259.11
1961 8 11 58.9 -128.5 5244.70
1961 6 4 53.5009 -116.5375 954.30
1961 8 12 55.45 -97.2 202.43
1961 6 19 51.412 -98.472 689.07
1961 7 17 61.25 -106.57 1760.00
1961 10 22 45.8178 -76.571 323.76
1961 7 6 55.3 -98.28 777.33
1961 7 22 51.8 -124 30351.40
1961 7 3 58.7454 -115.1097 9281.60
1961 8 8 52.4 -124.2 242.80
1961 7 24 47 -53.28 242.00
1961 7 18 51.5 -123.7 7769.90
1961 6 11 49.9253 -74.3243 236.83
1961 8 21 55.1 -123.8 959.10
1961 6 26 56.5 -100.95 364.00
1961 5 21 51.604 -97.592 315.79
1961 6 4 54.6377 -116.9339 952.70
1961 7 28 64.23 -117.87 512.00
1961 6 15 51.8 -124 4972.70
1961 8 4 56.8 -124.9 2589.90
1961 7 29 47.95 -53.05 2550.00
1961 8 18 52.6 -119.5 331.80
1961 7 19 61.87 -108.75 720.00
1961 7 4 60.87 -126.45 6656.00
1961 7 23 61.08 -105.92 920.00
1961 7 23 55 -121.4 7409.80
1961 6 30 61.43 -110.8 5120.00
1961 5 3 51.523 -101.534 226.72
1961 7 20 57.4 -125.9 310.70
1961 7 3 51.481 -98.595 214.58
1961 5 24 54.5759 -117.0471 2010.00
1961 8 26 61.88 -109.88 1396.00
1961 7 17 63.93 -113.07 528.40
1961 6 24 61.95 -111.15 20000.00
1961 6 1 48.2 -54.17 777.00
1961 6 27 51.247 -100.888 259.11
1961 6 26 51.1875 -93.625 17827.00
1961 6 27 49.6875 -91.625 5152.00
1961 6 15 55.05 -98.717 259.11
1961 6 20 51.652 -100.522 396.76
1961 8 4 55.1 -126.9 1868.00
1961 6 3 54.3357 -117.2904 350.10
1961 6 24 51.5625 -88.625 906.00
1961 6 3 57.5464 -114.3836 4770.48
1961 6 16 54.304 -97.495 6072.87
1961 6 18 51.8 -122.1 219.30
1961 6 7 47.4 -53.15 202.00
1961 6 11 50.0625 -95.125 8314.00
1961 8 8 52.4 -124.2 5963.40
1961 6 12 48.8 -54.25 199914.00
1961 7 18 52.3201 -69.6532 5221.37
1961 8 18 44.23 -65 514.00
1961 8 17 52.5 -121.3 360.10
1961 5 17 53.4955 -115.11 362.60
1961 6 9 55.486 -97.4 315.79
1961 5 26 50.8804 -100.5849 6475.00
1961 6 15 56.05 -99.116 259.11
1961 6 26 49.6875 -92.125 342.00
1961 7 26 51.8 -126.2 509.90
1961 7 4 55.783 -100.6 2753.00
1961 6 23 47.55 -52.7 323.00
1961 5 21 51.169 -97.007 327.94
1961 5 23 55.9 -120.7 3808.00
1961 5 19 51.25 -100.941 1012.15
1961 5 1 52.379 -100.822 297.57
1961 5 21 54.5051 -118.9631 4109.92
1961 7 1 51.819 -99.625 10931.17
1961 5 19 55.7759 -116.1509 4323.30
1961 5 19 55.9324 -116.913 3100.10
1961 7 3 63.15 -116.72 1200.00
1961 5 19 53.18 -99.426 3846.15
1961 6 19 49.37 -57.12 401.00
1961 6 23 51.0625 -90.125 1619.00
1961 5 19 55.605 -116.5131 1137.11
1961 5 18 50.76 -98.748 2024.29
1961 5 18 51.423 -98.43 1230.77
1961 8 22 51.7 -124.5 511.50
1961 5 19 58.25 -112.167 5261.00
1961 5 18 51.863 -100.64 1182.19
1961 8 20 45.23 -61.4 223.00
1961 6 16 55.1 -95.917 3157.90
1961 5 19 51.594 -100.534 356.28
1961 5 28 47.42 -53.53 259.00
1961 5 18 51.746 -99.79 1036.44
1961 7 15 62.08 -108.43 1360.00
1961 5 18 50.7726 -100.638 324.00
1961 5 18 55.9 -121.3 9466.80
1961 5 19 55.7 -120.5 416.80
1961 5 4 51.688 -99.566 647.77
1961 5 19 55.6 -120.5 938.80
1961 5 19 55.9 -121.3 1926.30
1961 7 3 54.373 -99.426 405.00
1961 5 29 50.9375 -93.625 666.00
1961 6 14 49.696 -99.35 1133.60
1961 5 24 55.8 -121.8 314.40
1961 6 19 54.2817 -106.1248 344.00
1961 5 26 53.94 -101.435 7975.71
1961 5 23 56.4 -121.3 202.30
1961 6 14 48.6805 -77.9593 212.87
1961 9 17 51.103 -97.253 242.92
1961 8 5 55.7 -127.8 343.90
1961 6 26 50.1875 -93.125 1679.00
1961 5 23 54.5249 -116.7699 610.90
1961 6 6 55.4517 -111.7583 919.30
1961 5 28 51.903 -106.815 390.68
1961 5 22 55.2123 -116.4912 3181.10
1961 5 21 54.5924 -118.3834 1609.50
1961 5 27 54.333 -96.046 809.72
1961 5 23 53.83 -116.8713 12807.10
1961 7 31 52.9 -120.5 242.80
1961 5 19 57 -123.1 250.90
1961 5 10 52.619 -100.798 334.01
1961 5 22 54.144 -100.594 388.66
1961 6 19 51.7 -124 202.30
1961 5 25 52.35 -100.849 299.60
1961 5 26 54.6068 -117.6365 481.01
1961 10 22 45.883 -73.9151 521.25
1961 8 3 55.667 -96.033 242.92
1961 6 4 53.3845 -116.1197 328.10
1961 6 16 47.3997 -72.2995 344.80
1961 6 17 49.5625 -94.875 1066.00
1961 6 18 52.576 -100.93 481.78
1961 6 17 51.8125 -92.375 96545.00
1961 6 19 47.52 -53.37 913.00
1961 8 18 52.9 -121.2 485.60
1961 6 23 54.824 -100.451 267.00
1961 6 18 63.9 -115.43 340.00
1961 6 4 55.2123 -116.2604 1148.00
1961 6 3 59.133 -113.267 4273.60
1961 6 16 54.038 -100.215 3238.87
1961 5 28 49.07 -56 202.00
1961 6 17 51.7 -122.4 582.70
