tau_inf	H1
0.527	1.02
0.528	1.02
0.529	1.02
0.530	1.02
0.531	1.02
0.532	1.02
0.533	1.02
0.534	1.02
0.535	1.02
0.536	1.02
0.537	1.02
0.538	1.02
0.539	1.02
0.540	1.02
0.541	1.02
0.542	1.02
0.543	1.02
0.544	1.02
0.545	1.02
0.546	1.02
0.547	1.02
0.548	1.02
0.549	1.02
0.550	1.02
0.551	1.02
0.552	1.02
0.553	1.02
0.554	1.02
0.555	1.02
0.556	1.01
0.557	1.01
0.558	1.01
0.559	1.01
0.560	1.01
0.561	1.01
0.562	1.01
0.563	1.01
0.564	1.01
0.565	1.01
0.566	1.01
0.567	1.01
0.568	1.01
0.569	1.01
0.570	1.01
0.571	1.01
0.572	1.01
0.573	1.01
0.574	1.01
0.575	1.01
0.576	1.01
0.577	1.01
0.578	1.01
0.579	1.01
0.580	1.01
0.581	1.01
0.582	1.01
0.583	1.01
0.584	1.01
0.585	1.01
0.586	1.01
0.587	1.01
0.588	1.00
0.589	1.00
0.590	1.00
0.591	1.00
0.592	1.00
0.593	1.00
0.594	1.00
0.595	1.00
0.596	1.00
0.597	1.00
0.598	1.00
0.599	1.00
0.600	1.00
0.601	1.00
0.602	1.00
0.603	1.00
0.604	1.00
0.605	1.00
0.606	1.00
0.607	1.00
0.608	1.00
0.609	1.00
0.610	1.00
0.611	1.00
0.612	1.00
0.613	1.00
0.614	1.00
0.615	1.00
0.616	1.00
0.617	1.00
0.618	1.00
0.619	1.00
0.620	1.00
0.621	1.00
0.622	1.00
0.623	1.00
0.624	1.00
0.625	1.00
0.626	1.00
0.627	1.00
0.628	1.00
0.629	1.00
0.630	1.00
0.631	1.00
0.632	1.00
0.633	1.00
0.634	1.00
0.635	1.00
0.636	1.00
0.637	1.00
0.638	1.00
0.639	1.00
0.640	1.00
0.641	1.00
0.642	1.00
0.643	1.00
0.644	1.00
0.645	0.99
0.646	0.99
0.647	0.99
0.648	0.99
0.649	0.99
0.650	0.99
0.651	0.99
0.652	0.99
0.653	0.99
0.654	0.99
0.655	0.99
0.656	0.99
0.657	0.99
0.658	0.99
0.659	0.99
0.660	0.99
0.661	0.99
0.662	0.99
0.663	0.99
0.664	0.99
0.665	0.99
0.666	0.99
0.667	0.99
0.668	0.99
0.669	0.99
0.670	0.99
0.671	0.99
0.672	0.99
0.673	0.99
0.674	0.99
0.675	0.99
0.676	0.99
