 From deresol.f
 Units of 1E+4 part/m^3
 1 0 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  8
 1 0 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  1
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  2
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  3
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  4
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  5
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  6
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  7
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  8
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 11 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  1
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  2
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  3
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  4
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  5
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  6
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  7
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  8
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 12 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  1
 5261 2582 0 0 516 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  2
 4827 2369 0 0 473 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  3
 4393 2156 0 0 430 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  4
 3960 1944 0 0 388 0
